row,column,x_px,y_px,filename
1,1,0,0,map_r01_c01.png
1,2,1000,0,map_r01_c02.png
1,3,2000,0,map_r01_c03.png
1,4,3000,0,map_r01_c04.png
1,5,4000,0,map_r01_c05.png
1,6,5000,0,map_r01_c06.png
1,7,6000,0,map_r01_c07.png
1,8,7000,0,map_r01_c08.png
1,9,8000,0,map_r01_c09.png
1,10,9000,0,map_r01_c10.png
2,1,0,1000,map_r02_c01.png
2,2,1000,1000,map_r02_c02.png
2,3,2000,1000,map_r02_c03.png
2,4,3000,1000,map_r02_c04.png
2,5,4000,1000,map_r02_c05.png
2,6,5000,1000,map_r02_c06.png
2,7,6000,1000,map_r02_c07.png
2,8,7000,1000,map_r02_c08.png
2,9,8000,1000,map_r02_c09.png
2,10,9000,1000,map_r02_c10.png
3,1,0,2000,map_r03_c01.png
3,2,1000,2000,map_r03_c02.png
3,3,2000,2000,map_r03_c03.png
3,4,3000,2000,map_r03_c04.png
3,5,4000,2000,map_r03_c05.png
3,6,5000,2000,map_r03_c06.png
3,7,6000,2000,map_r03_c07.png
3,8,7000,2000,map_r03_c08.png
3,9,8000,2000,map_r03_c09.png
3,10,9000,2000,map_r03_c10.png
4,1,0,3000,map_r04_c01.png
4,2,1000,3000,map_r04_c02.png
4,3,2000,3000,map_r04_c03.png
4,4,3000,3000,map_r04_c04.png
4,5,4000,3000,map_r04_c05.png
4,6,5000,3000,map_r04_c06.png
4,7,6000,3000,map_r04_c07.png
4,8,7000,3000,map_r04_c08.png
4,9,8000,3000,map_r04_c09.png
4,10,9000,3000,map_r04_c10.png
5,1,0,4000,map_r05_c01.png
5,2,1000,4000,map_r05_c02.png
5,3,2000,4000,map_r05_c03.png
5,4,3000,4000,map_r05_c04.png
5,5,4000,4000,map_r05_c05.png
5,6,5000,4000,map_r05_c06.png
5,7,6000,4000,map_r05_c07.png
5,8,7000,4000,map_r05_c08.png
5,9,8000,4000,map_r05_c09.png
5,10,9000,4000,map_r05_c10.png
6,1,0,5000,map_r06_c01.png
6,2,1000,5000,map_r06_c02.png
6,3,2000,5000,map_r06_c03.png
6,4,3000,5000,map_r06_c04.png
6,5,4000,5000,map_r06_c05.png
6,6,5000,5000,map_r06_c06.png
6,7,6000,5000,map_r06_c07.png
6,8,7000,5000,map_r06_c08.png
6,9,8000,5000,map_r06_c09.png
6,10,9000,5000,map_r06_c10.png
7,1,0,6000,map_r07_c01.png
7,2,1000,6000,map_r07_c02.png
7,3,2000,6000,map_r07_c03.png
7,4,3000,6000,map_r07_c04.png
7,5,4000,6000,map_r07_c05.png
7,6,5000,6000,map_r07_c06.png
7,7,6000,6000,map_r07_c07.png
7,8,7000,6000,map_r07_c08.png
7,9,8000,6000,map_r07_c09.png
7,10,9000,6000,map_r07_c10.png
8,1,0,7000,map_r08_c01.png
8,2,1000,7000,map_r08_c02.png
8,3,2000,7000,map_r08_c03.png
8,4,3000,7000,map_r08_c04.png
8,5,4000,7000,map_r08_c05.png
8,6,5000,7000,map_r08_c06.png
8,7,6000,7000,map_r08_c07.png
8,8,7000,7000,map_r08_c08.png
8,9,8000,7000,map_r08_c09.png
8,10,9000,7000,map_r08_c10.png
9,1,0,8000,map_r09_c01.png
9,2,1000,8000,map_r09_c02.png
9,3,2000,8000,map_r09_c03.png
9,4,3000,8000,map_r09_c04.png
9,5,4000,8000,map_r09_c05.png
9,6,5000,8000,map_r09_c06.png
9,7,6000,8000,map_r09_c07.png
9,8,7000,8000,map_r09_c08.png
9,9,8000,8000,map_r09_c09.png
9,10,9000,8000,map_r09_c10.png
10,1,0,9000,map_r10_c01.png
10,2,1000,9000,map_r10_c02.png
10,3,2000,9000,map_r10_c03.png
10,4,3000,9000,map_r10_c04.png
10,5,4000,9000,map_r10_c05.png
10,6,5000,9000,map_r10_c06.png
10,7,6000,9000,map_r10_c07.png
10,8,7000,9000,map_r10_c08.png
10,9,8000,9000,map_r10_c09.png
10,10,9000,9000,map_r10_c10.png
